basin,N,C0,C1,C2,C3,%C0,%C1,%C2,%C3
g-/pos,1794,1038,11,723,22,57.9,0.6,40.3,1.2
g+/pos,686,397,19,257,13,57.9,2.8,37.5,1.9
t/pos,1285,17,874,12,382,1.3,68.0,0.9,29.7
g-/neg,224,150,11,37,26,67.0,4.9,16.5,11.6
g+/neg,158,54,15,70,19,34.2,9.5,44.3,12.0
t/neg,1859,10,186,344,1319,0.5,10.0,18.5,71.0
