# GMM n=4 pocket classification, T=50C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
0  80.82  1  0.880309  11.526  7.911  -0.077608  0.587462  -0.016604  surface
1  60.69  1  0.843769  11.265  7.789  -0.068493  0.744295  -0.012104  surface
2  80.25  1  0.814915  10.875  9.029  0.363621  0.806813  -0.008904  surface
3  87.90  1  0.818711  10.135  9.892  0.428392  0.843419  -0.021418  surface
4  75.80  1  0.798340  10.771  9.102  0.432877  0.856384  -0.002159  surface
5  62.30  1  0.824918  10.541  10.117  0.535393  0.880576  -0.019192  surface
6  48.79  0  0.832864  10.391  10.004  0.221549  0.879852  -0.008762  surface
7  43.50  0  0.793470  10.642  11.821  0.334553  0.972987  -0.011462  surface
8  65.48  1  0.834864  11.081  9.361  0.384026  0.824194  -0.021736  surface
9  33.14  0  0.850828  10.872  9.106  0.104403  0.864805  -0.026142  surface
10  63.07  1  0.823473  10.736  8.361  0.314822  0.809376  -0.003082  surface
11  51.49  1  0.804537  10.665  10.409  0.358893  0.940838  -0.028565  surface
12  71.04  1  0.738072  10.860  10.453  0.551042  1.032910  0.000135  surface
13  100.65  1  0.762172  11.560  9.597  0.568983  0.914435  -0.005427  surface
14  94.23  1  0.670082  10.661  12.121  0.553781  1.181008  -0.013474  surface
15  94.01  1  0.688251  10.521  11.932  0.633563  1.092567  -0.001056  surface
16  6.92  0  0.776995  10.905  10.158  0.208225  0.946026  -0.024882  surface
17  75.66  1  0.646176  10.638  13.323  0.817319  1.273120  -0.018336  surface
18  103.67  1  0.748919  10.573  11.348  0.800473  1.021319  -0.021758  surface
19  52.78  1  0.773644  9.964  12.806  0.802744  1.132426  -0.036952  surface
20  62.44  1  0.788086  10.832  12.135  0.791727  1.123618  -0.039844  surface
21  109.89  1  0.777956  10.896  11.222  0.749701  1.058433  -0.005920  surface
22  55.29  1  0.803498  10.768  12.285  0.674131  1.064352  -0.023365  surface
23  62.28  1  0.817533  10.523  11.443  0.597337  1.005334  -0.021458  surface
24  78.68  1  0.797690  10.562  11.383  0.770988  1.012544  -0.007622  surface
25  36.95  0  0.791306  11.329  12.631  0.631131  1.079519  -0.041072  surface
26  55.89  1  0.824597  10.643  12.583  0.815438  1.079792  -0.024242  surface
27  58.15  1  0.845294  10.448  12.440  0.677702  1.051144  -0.031500  surface
28  49.20  0  0.824283  10.819  12.464  0.603927  1.027774  -0.040396  surface
29  86.10  1  0.698776  10.802  12.307  0.858405  1.157364  -0.003619  surface
30  71.28  1  0.778118  11.378  11.825  0.806351  1.028940  -0.020517  surface
31  75.91  1  0.784474  10.851  12.459  0.799089  1.094555  -0.021653  surface
32  50.38  1  0.816634  10.886  11.761  0.695580  1.013832  -0.018553  surface
33  28.67  0  0.820793  9.164  12.297  0.446320  1.047484  -0.025038  surface
34  36.57  0  0.779897  10.403  11.907  0.697385  1.084395  -0.018763  surface
35  26.36  0  0.755666  10.815  12.531  0.598073  1.114769  -0.014717  surface
36  67.77  1  0.749642  11.549  13.082  0.706991  1.152881  -0.018950  surface
37  44.70  0  0.827200  10.731  11.899  0.708654  0.977249  -0.039309  surface
38  28.85  0  0.814235  9.537  11.760  0.586337  1.050157  -0.017266  surface
39  32.22  0  0.813969  10.156  10.540  0.575261  0.999452  -0.027667  surface
40  28.53  0  0.758515  10.361  12.952  0.687267  1.125513  -0.013178  surface
41  53.87  1  0.792906  11.093  11.587  0.811819  1.070459  -0.015602  surface
42  62.11  1  0.802641  11.381  10.865  0.663296  1.000956  -0.023605  surface
43  42.57  0  0.764284  10.624  12.540  0.703910  1.083457  -0.022195  surface
44  -112.05  3  0.826413  11.373  11.229  -0.844583  1.173223  0.001549  S3_pocket
45  -135.34  3  0.811466  12.121  11.005  -0.941877  1.188548  -0.011040  S3_pocket
46  -120.47  3  0.879913  11.815  8.797  -0.788436  0.952543  -0.008603  S3_pocket
47  84.19  1  0.741044  11.762  10.733  0.676214  1.061687  -0.019783  surface
48  79.20  1  0.700166  10.482  12.761  0.842167  1.151622  -0.009542  surface
49  90.26  1  0.789540  11.766  10.646  0.670141  1.029458  -0.021101  surface
50  103.08  1  0.821566  10.786  10.686  0.421949  1.032807  -0.024463  surface
51  78.15  1  0.684845  9.860  12.327  0.843540  1.201170  -0.023291  surface
52  83.00  1  0.754926  8.173  12.292  0.727842  1.142547  -0.029732  surface
53  69.41  1  0.713697  8.578  12.695  0.776082  1.201340  -0.015105  surface
54  16.64  0  0.795521  8.547  11.655  0.312773  1.062577  -0.018564  surface
55  97.85  1  0.701551  7.859  12.339  0.912532  1.144143  -0.025804  surface
56  95.97  1  0.706154  8.445  13.246  0.794897  1.187706  -0.018740  surface
57  101.12  1  0.681544  9.242  13.204  0.824122  1.265263  -0.022445  surface
58  41.45  0  0.800849  8.411  12.108  0.508387  1.029601  -0.009860  surface
59  26.89  0  0.785186  8.672  12.134  0.351704  1.043141  -0.014714  surface
60  45.44  0  0.732501  8.922  12.296  0.831488  1.140402  -0.024747  surface
61  -70.78  2  0.797462  9.343  10.158  -0.761252  1.176973  0.003997  S3_pocket
62  -120.44  3  0.781591  9.488  10.822  -0.833903  1.204244  0.007514  S3_pocket
63  -102.03  3  0.847432  10.246  9.204  -0.894342  1.013441  -0.013575  S3_pocket
64  -121.09  3  0.861334  10.131  9.102  -0.881618  1.043357  -0.046676  S3_pocket
65  -112.72  3  0.882449  10.126  9.566  -0.796002  1.025736  -0.003222  S3_pocket
66  -87.21  2  0.792732  9.442  11.216  -0.792786  1.146951  -0.015554  S3_pocket
67  -65.12  2  0.758741  7.123  11.121  0.279359  1.008965  -0.026329  surface
68  83.67  1  0.806872  7.050  12.275  -0.933429  1.236652  -0.008779  S1_pocket
69  79.36  1  0.784106  8.857  9.160  -0.750678  1.042644  -0.005192  S3_pocket
70  165.25  0  0.789972  7.130  10.506  -0.826952  1.120441  -0.001607  S1_pocket
71  132.65  1  0.749895  6.503  11.634  -0.958279  1.242346  -0.013028  S1_pocket
72  175.65  0  0.861679  8.225  8.029  -0.793472  0.997137  -0.011991  S3_pocket
73  120.67  1  0.783334  7.630  10.776  -0.873958  1.153552  0.000027  S1_pocket
74  -122.72  3  0.788495  10.349  9.848  -0.877156  1.108502  -0.009100  S3_pocket
75  -122.65  3  0.814845  9.985  8.094  -0.818640  1.011804  -0.008534  S3_pocket
76  -84.09  2  0.801407  9.885  8.802  -0.945622  1.083263  -0.010007  S3_pocket
77  -110.87  3  0.756253  10.177  10.145  -0.969779  1.200229  -0.008247  S3_pocket
78  -120.59  3  0.798214  10.743  8.838  -0.775847  1.044278  -0.004506  S3_pocket
79  -97.77  3  0.795127  10.242  9.363  -0.873231  1.097666  -0.031121  S3_pocket
80  -108.17  3  0.806179  10.761  8.389  -0.903647  1.099205  0.001451  S3_pocket
81  -128.40  3  0.766021  11.403  7.718  -0.793107  1.118560  -0.005652  S3_pocket
