basin,N,C0,C1,C2,C3,%C0,%C1,%C2,%C3
g-/S1,1794,1038,11,723,22,57.9,0.6,40.3,1.2
g+/S1,686,397,19,257,13,57.9,2.8,37.5,1.9
t/S1,1285,17,874,12,382,1.3,68.0,0.9,29.7
t/S2,134,5,27,38,64,3.7,20.1,28.4,47.8
t/S3,1725,5,159,306,1255,0.3,9.2,17.7,72.8
g/neg,382,204,26,107,45,53.4,6.8,28.0,11.8
