# GMM n=4 pocket classification, T=40C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
0  72.24  1  0.880550  11.390  8.002  0.004170  0.594599  -0.016512  surface
1  51.10  1  0.845108  10.739  8.734  -0.053327  0.774541  -0.019482  surface
2  42.70  0  0.697038  10.651  12.085  0.636364  1.089482  -0.017476  surface
3  32.17  0  0.779463  10.299  9.701  0.308801  0.931025  -0.035048  surface
4  92.83  1  0.772128  10.693  9.934  0.750687  0.864134  -0.023193  surface
5  54.65  1  0.749562  11.310  11.996  0.469022  0.997093  -0.014809  surface
6  47.92  0  0.886702  10.881  8.387  -0.009709  0.799542  -0.002496  surface
7  40.92  0  0.733744  9.355  11.713  0.536678  1.003259  -0.008989  surface
8  90.31  1  0.690093  11.335  12.003  0.577393  1.063322  0.000444  surface
9  75.97  1  0.772877  10.238  11.358  0.469519  0.927638  -0.010606  surface
10  70.10  1  0.764589  10.601  10.978  0.463721  0.966866  0.004150  surface
11  63.90  1  0.814929  10.217  11.256  0.311195  0.954891  -0.021691  surface
12  72.68  1  0.800667  10.782  11.227  0.590457  1.006115  -0.024285  surface
13  90.77  1  0.837747  10.858  11.158  0.551435  0.932318  -0.015865  surface
14  94.47  1  0.831488  10.590  10.450  0.561263  0.905695  -0.014958  surface
15  43.21  0  0.784213  10.503  10.845  0.396212  0.950808  -0.015820  surface
16  79.93  1  0.822658  9.639  11.584  0.475782  0.946494  -0.016949  surface
17  109.24  1  0.805233  11.100  10.372  -0.039357  0.873298  -0.004558  surface
18  79.99  1  0.833895  11.081  11.327  0.245468  0.923504  -0.008728  surface
19  73.94  1  0.816591  10.568  11.664  0.412627  0.932177  -0.004854  surface
20  105.43  1  0.826832  10.703  10.954  0.230504  0.919578  -0.014791  surface
21  70.32  1  0.801840  9.885  11.741  0.491443  0.970359  -0.014542  surface
22  85.50  1  0.785000  11.087  11.398  0.488220  0.963643  -0.016225  surface
23  76.74  1  0.784198  11.045  11.340  0.389587  0.970872  -0.015864  surface
24  59.76  1  0.819031  10.717  11.149  0.347936  0.943882  -0.017210  surface
25  72.06  1  0.836133  11.437  10.971  0.391976  0.937406  -0.012744  surface
26  75.87  1  0.775633  10.641  12.053  0.434843  0.998325  -0.006901  surface
27  88.97  1  0.801745  11.260  11.476  0.479262  0.893340  -0.012579  surface
28  77.30  1  0.802439  10.550  11.352  0.655396  0.888096  -0.013456  surface
29  72.70  1  0.803664  11.807  11.097  0.346972  0.866744  -0.010812  surface
30  70.29  1  0.828034  11.088  9.943  0.443559  0.811812  -0.017726  surface
31  72.04  1  0.843168  11.354  8.855  0.280226  0.690110  -0.017553  surface
32  76.02  1  0.836047  11.163  9.367  0.217560  0.768450  -0.013600  surface
33  30.68  0  0.852578  11.003  8.649  0.206480  0.711900  -0.048166  surface
34  64.80  1  0.835745  9.969  9.062  0.062539  0.822035  -0.017166  surface
35  41.26  0  0.787345  11.717  8.949  0.614832  0.868647  -0.062080  surface
36  72.57  1  0.814297  11.272  9.121  0.506837  0.797753  -0.042708  surface
37  56.13  1  0.774873  10.920  8.740  0.589998  0.883762  -0.052175  surface
38  40.28  0  0.829792  10.942  8.757  0.292061  0.801288  -0.022882  surface
39  32.29  0  0.823084  10.963  9.382  0.463286  0.807286  -0.013357  surface
40  71.23  1  0.800203  11.135  9.082  0.493096  0.832064  -0.035236  surface
41  42.08  0  0.800796  11.679  9.035  0.117422  0.852469  -0.001561  surface
42  65.31  1  0.835487  10.913  8.935  0.404717  0.776061  -0.008710  surface
43  68.03  1  0.775738  10.825  9.693  0.480019  0.857718  -0.021701  surface
44  82.18  1  0.793198  10.896  9.296  0.557343  0.858137  -0.012662  surface
45  113.00  1  0.746831  10.475  11.274  0.716349  0.976319  -0.003273  surface
46  45.17  0  0.784191  10.308  9.988  0.411093  0.912399  -0.023610  surface
47  77.51  1  0.758141  10.904  9.474  0.570042  0.921586  -0.027149  surface
48  81.59  1  0.785540  11.366  9.830  0.357100  0.914492  -0.016144  surface
49  67.65  1  0.786181  10.752  9.433  0.262486  0.894553  -0.031785  surface
50  74.60  1  0.745694  10.598  9.442  0.607252  0.948337  -0.036140  surface
51  81.48  1  0.773431  10.552  9.920  0.641563  0.917763  -0.016231  surface
52  54.32  1  0.796279  11.154  9.883  0.320398  0.883565  -0.010419  surface
53  76.25  1  0.783573  10.918  9.659  0.355219  0.915966  -0.021713  surface
54  31.16  0  0.813455  11.178  9.505  -0.343770  0.937563  -0.035718  S3_pocket
55  94.07  1  0.692671  10.546  10.850  0.688324  1.080109  -0.016733  surface
56  75.60  1  0.734938  10.733  10.511  0.656754  0.950335  -0.020674  surface
57  77.88  1  0.726841  11.354  10.445  0.722365  0.964978  -0.017685  surface
58  53.87  1  0.806495  10.855  9.905  0.194037  0.850727  -0.001053  surface
59  55.57  1  0.663464  10.751  12.131  0.814218  1.132317  -0.028384  surface
60  41.99  0  0.755049  11.035  9.049  0.426303  0.939749  -0.045858  surface
61  81.43  1  0.677658  9.939  12.019  0.910943  1.126127  -0.011994  surface
62  34.85  0  0.801719  11.166  9.438  0.136952  0.907527  0.000092  surface
63  36.48  0  0.763054  10.856  9.919  0.467803  0.945773  -0.014507  surface
64  53.13  1  0.751404  10.502  10.600  0.665478  1.012014  0.003885  surface
65  53.87  1  0.814643  11.728  9.177  0.312500  0.929298  -0.026995  surface
66  89.14  1  0.763331  10.016  10.473  0.534556  0.988782  -0.011834  surface
67  103.29  1  0.702769  10.817  10.962  0.833860  1.072707  -0.009678  surface
68  69.77  1  0.701783  10.502  11.624  0.541454  1.094064  -0.020333  surface
69  69.32  1  0.814623  11.066  9.651  0.468453  0.864477  -0.015619  surface
70  55.17  1  0.791187  10.798  9.608  0.317194  0.929301  -0.015354  surface
71  79.84  1  0.733988  10.691  9.420  0.819587  0.998800  -0.041058  surface
72  24.27  0  0.840731  10.027  9.117  0.110029  0.902927  -0.031972  surface
73  44.93  0  0.772435  10.799  9.066  0.406691  0.961511  -0.056694  surface
74  28.50  0  0.788643  10.526  9.181  0.356277  0.907529  -0.051115  surface
75  92.73  1  0.764565  10.668  9.375  0.797935  0.939513  -0.041706  surface
76  60.62  1  0.781000  10.276  10.450  0.368057  1.018693  -0.015030  surface
77  81.80  1  0.806961  10.771  8.932  0.527616  0.919905  -0.017966  surface
78  27.61  0  0.763818  11.489  9.701  -0.036827  1.014363  -0.011638  surface
79  80.81  1  0.786900  12.718  8.846  0.476720  0.910794  -0.025570  surface
80  74.27  1  0.778247  11.852  9.497  0.490767  0.962866  -0.018408  surface
81  32.25  0  0.734423  11.193  11.665  0.704839  1.100959  -0.017174  surface
82  66.19  1  0.734300  12.897  8.853  0.586620  1.010183  -0.055163  surface
83  111.05  1  0.736113  13.106  9.614  0.716988  0.972468  -0.030110  surface
84  73.63  1  0.726658  12.177  10.942  0.795010  1.063754  -0.030643  surface
85  89.80  1  0.674269  10.009  12.189  0.927032  1.122322  -0.025324  surface
86  73.88  1  0.700628  10.558  11.363  0.704093  1.103011  -0.036282  surface
87  75.30  1  0.688978  10.767  11.764  0.851431  1.098125  -0.018255  surface
88  84.68  1  0.688312  11.321  12.435  0.904905  1.093101  -0.022942  surface
89  80.28  1  0.671611  10.411  11.495  0.785186  1.116815  -0.019315  surface
90  65.98  1  0.743909  10.257  10.298  0.651435  1.016744  -0.019181  surface
