# GMM n=4 pocket classification, T=45C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
0  83.99  1  0.885087  11.456  8.025  0.050290  0.574232  -0.009534  surface
1  71.09  1  0.794445  10.752  10.351  0.669129  0.820884  -0.028187  surface
2  -125.25  3  0.894928  12.728  7.226  -0.748706  0.768345  -0.010427  S3_pocket
3  -123.98  3  0.885683  12.594  7.763  -0.785900  0.806131  -0.007127  S3_pocket
4  -116.93  3  0.857267  11.877  9.889  -0.866860  0.888344  -0.010880  S3_pocket
5  -124.72  3  0.898143  11.501  9.340  -0.666753  0.884279  -0.010230  S3_pocket
6  -131.96  3  0.913246  11.070  9.434  -0.623175  0.854322  -0.005553  S3_pocket
7  -106.73  3  0.877031  11.180  9.654  -0.793707  0.879029  -0.004874  S3_pocket
8  -118.87  3  0.780185  11.666  9.638  -0.773600  1.017863  -0.001774  S3_pocket
9  -104.15  3  0.919153  12.681  7.049  -0.602264  0.727192  -0.008367  S3_pocket
10  -122.17  3  0.859357  11.808  8.526  -0.718806  0.825351  -0.039419  S3_pocket
11  -134.67  3  0.879584  11.662  8.700  -0.789035  0.834643  -0.008204  S3_pocket
12  -119.37  3  0.883367  12.376  7.625  -0.725395  0.792864  -0.016024  S3_pocket
13  -111.41  3  0.872713  11.670  7.999  -0.598830  0.854896  -0.002113  S3_pocket
14  -106.62  3  0.841441  11.389  9.338  -0.767224  0.877864  -0.019373  S3_pocket
15  -111.84  3  0.905953  13.137  8.712  -0.527927  0.758780  -0.021562  S3_pocket
16  -110.80  3  0.881423  12.145  7.440  -0.680515  0.749426  -0.005006  S3_pocket
17  -140.78  3  0.865693  13.167  7.451  -0.762135  0.792469  -0.019262  S3_pocket
18  -91.02  3  0.832476  11.347  8.366  -0.792154  0.835396  -0.023395  S3_pocket
19  -109.63  3  0.907201  12.494  7.360  -0.671664  0.747834  -0.024643  S3_pocket
20  -85.04  2  0.841395  10.862  8.089  -0.142089  0.841992  0.010284  surface
21  -118.25  3  0.947826  12.822  8.421  -0.262313  0.704826  -0.023360  S3_pocket
22  -99.61  3  0.943265  13.175  7.581  -0.301475  0.691960  -0.015632  S3_pocket
23  -120.64  3  0.902404  12.870  6.772  -0.337781  0.645664  -0.021276  S3_pocket
24  -90.85  3  0.946165  13.111  7.162  -0.387495  0.615771  -0.008405  S3_pocket
25  -99.03  3  0.949491  13.107  7.364  -0.442261  0.688644  0.002548  S3_pocket
26  -104.79  3  0.910336  12.649  8.269  -0.319016  0.779697  -0.013246  S3_pocket
27  -98.18  3  0.973131  13.077  6.754  -0.241695  0.665470  -0.007609  S3_pocket
28  -119.07  3  0.973230  13.292  6.769  -0.282699  0.685882  -0.005278  S3_pocket
29  -109.46  3  0.977708  13.326  7.630  -0.159053  0.662632  -0.007518  S3_pocket
30  -99.91  3  0.942064  13.324  7.641  -0.426944  0.719443  -0.005620  S3_pocket
31  -108.67  3  0.871869  12.310  7.819  -0.657770  0.823439  -0.017153  S3_pocket
32  -124.24  3  0.952967  12.981  8.751  0.058652  0.750070  -0.033228  S3_pocket
33  -134.35  3  0.956926  12.928  8.580  -0.056354  0.691476  -0.009722  S3_pocket
34  -122.60  3  0.849454  12.401  8.120  -0.608177  0.741970  -0.008019  S3_pocket
35  -137.23  3  0.899349  12.865  8.216  -0.180402  0.736084  -0.004874  S3_pocket
36  -81.98  2  0.933358  13.351  6.577  -0.449003  0.690120  -0.039202  S3_pocket
37  -117.93  3  0.892465  13.226  8.412  -0.402365  0.747783  -0.016565  S3_pocket
38  -116.47  3  0.936720  12.972  7.379  -0.267976  0.729656  -0.025932  S3_pocket
39  -106.29  3  0.935715  13.280  7.123  -0.071783  0.644363  -0.009698  S3_pocket
40  -112.62  3  0.920197  13.185  7.867  -0.319814  0.723723  -0.012321  S3_pocket
41  -96.62  3  0.924546  13.003  7.195  -0.281248  0.682395  -0.043729  S3_pocket
42  -128.40  3  0.884028  13.156  7.696  -0.091197  0.778017  -0.035966  S3_pocket
43  -123.05  3  0.856062  12.182  8.243  -0.217686  0.914221  -0.010508  S3_pocket
44  -102.23  3  0.935878  13.016  7.377  -0.177247  0.701868  -0.031937  S3_pocket
45  -117.23  3  0.938079  13.090  7.201  0.005782  0.671555  -0.020286  S3_pocket
46  -94.23  3  0.933309  13.160  7.364  -0.400568  0.661640  -0.024530  S3_pocket
47  -112.58  3  0.903333  12.851  7.062  -0.370036  0.700608  -0.042216  S3_pocket
48  -103.65  3  0.934923  13.277  6.350  -0.420227  0.670741  -0.038620  S3_pocket
49  -114.58  3  0.908532  13.255  6.992  -0.463371  0.749311  -0.015112  S3_pocket
50  -123.32  3  0.883275  13.404  7.069  -0.149228  0.791758  -0.045886  S3_pocket
51  -120.47  3  0.916464  12.903  7.205  -0.323325  0.672024  -0.027159  S3_pocket
52  -91.99  3  0.961843  13.013  6.284  -0.302284  0.679243  -0.044426  S3_pocket
53  -98.79  3  0.942353  13.385  6.980  -0.197496  0.681714  -0.034574  S3_pocket
54  -116.53  3  0.878630  13.131  7.527  -0.574585  0.761548  -0.010809  S3_pocket
55  -96.53  3  0.945937  13.410  7.420  -0.048415  0.714643  -0.047785  S3_pocket
56  -108.25  3  0.936933  12.741  7.278  -0.103356  0.659930  -0.035677  S3_pocket
57  -128.92  3  0.929295  12.842  6.842  -0.180281  0.703637  -0.031113  S3_pocket
58  -109.95  3  0.931413  13.547  6.941  -0.360935  0.773050  -0.049617  S3_pocket
59  -110.77  3  0.954862  12.524  7.192  -0.031972  0.708285  -0.037773  S3_pocket
60  -120.36  3  0.952359  12.071  6.782  -0.002684  0.688859  -0.026504  S3_pocket
61  -118.13  3  0.986470  12.247  7.419  0.059463  0.619750  -0.022863  S3_pocket
62  -109.89  3  0.980480  12.279  6.752  -0.010430  0.644645  -0.030071  S3_pocket
63  -106.07  3  0.978471  12.185  7.319  -0.173749  0.642288  -0.037595  S3_pocket
64  -124.64  3  0.938968  11.353  7.276  -0.262855  0.717435  -0.040712  S3_pocket
65  -108.89  3  0.963441  12.120  7.416  -0.230593  0.729559  -0.025292  S3_pocket
66  -110.71  3  0.989377  11.421  6.701  -0.353641  0.666654  -0.036881  S3_pocket
67  -92.06  3  0.971946  12.317  6.591  -0.336820  0.654362  -0.032759  S3_pocket
