# GMM n=4 pocket classification, T=35C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
0  81.60  1  0.880995  11.116  8.059  -0.002783  0.595124  -0.016263  surface
1  -125.89  3  0.806343  11.760  11.522  -0.469140  0.979050  -0.004121  S3_pocket
2  -118.20  3  0.804953  11.640  11.528  -0.606333  1.060687  0.006571  S3_pocket
3  -130.90  3  0.827803  11.582  10.364  -0.562396  0.985919  -0.006576  S3_pocket
4  -118.73  3  0.800938  10.388  9.719  -0.637040  1.022621  -0.005296  S3_pocket
5  -117.58  3  0.850712  10.574  9.163  -0.711432  1.020890  -0.008065  S3_pocket
6  -107.16  3  0.849915  10.864  8.507  -0.779122  0.970817  -0.019701  S3_pocket
7  -110.12  3  0.880976  11.054  9.410  -0.479963  0.954541  -0.009048  S3_pocket
8  -124.18  3  0.871383  10.852  9.035  -0.419119  0.919477  -0.008060  S3_pocket
9  -136.43  3  0.919210  11.401  7.867  -0.343475  0.836021  -0.013387  S3_pocket
10  -100.08  3  0.834074  11.018  8.301  -0.739922  0.972917  -0.006348  S3_pocket
11  -121.51  3  0.858713  9.241  8.671  -0.671415  0.933598  -0.025133  S3_pocket
12  -140.83  3  0.855760  10.090  8.553  -0.601391  0.918582  -0.023239  S3_pocket
13  -119.07  3  0.857315  10.301  8.379  -0.747054  0.986558  -0.032338  S3_pocket
14  -114.25  3  0.873798  10.096  8.184  -0.772733  0.942175  -0.007001  S3_pocket
15  -124.93  3  0.838139  9.891  9.213  -0.729756  1.000346  -0.013206  S3_pocket
16  -132.04  3  0.887329  10.349  9.126  -0.462896  0.953513  -0.044589  S3_pocket
17  -124.24  3  0.922430  11.131  7.473  -0.488266  0.787198  -0.040254  S3_pocket
18  -121.30  3  0.887750  11.334  7.411  -0.396761  0.788489  -0.042772  S3_pocket
19  -123.71  3  0.915784  8.992  8.584  -0.606450  0.960222  -0.010692  S1_pocket
20  -98.23  3  0.885486  11.361  7.223  -0.682137  0.842336  -0.038858  S3_pocket
21  -129.77  3  0.858106  11.577  8.558  -0.561499  0.909214  -0.038092  S3_pocket
22  -133.23  3  0.893196  11.946  8.330  -0.326012  0.858085  -0.019106  S3_pocket
23  -127.05  3  0.865624  12.393  7.722  -0.627514  0.894144  -0.013739  S3_pocket
24  -126.22  3  0.874685  11.083  9.582  -0.607696  0.975417  -0.012374  S3_pocket
25  -125.80  3  0.888498  11.889  9.269  -0.455294  0.974085  -0.002532  S3_pocket
26  -106.07  3  0.898138  11.109  8.618  -0.739057  1.001229  0.001276  S3_pocket
27  -140.83  3  0.826550  11.183  9.860  -0.609582  1.004970  0.003439  S3_pocket
28  -92.94  3  0.865759  11.400  9.029  -0.768096  1.014285  -0.018379  S3_pocket
29  -115.02  3  0.873942  11.185  8.604  -0.672812  0.935696  -0.005946  S3_pocket
30  -133.23  3  0.891918  11.971  9.107  -0.572694  0.957385  -0.013129  S3_pocket
31  -127.24  3  0.876825  11.903  9.225  -0.564936  0.965103  0.002362  S3_pocket
32  -162.38  0  0.883915  10.887  8.654  -0.437392  0.925120  0.001493  S3_pocket
33  -106.70  3  0.891975  11.470  9.181  -0.435097  0.955604  -0.026583  S3_pocket
34  -117.95  3  0.884355  12.293  7.661  -0.603561  0.862566  -0.043277  S3_pocket
35  -101.35  3  0.900663  12.332  8.531  -0.695346  0.979557  -0.005192  S3_pocket
36  -132.41  3  0.869223  12.102  8.759  -0.502701  0.963981  -0.006336  S3_pocket
37  -121.67  3  0.881811  12.163  9.478  -0.711564  1.036134  0.001728  S3_pocket
38  -97.72  3  0.869212  11.959  9.170  -0.698906  0.987865  -0.000086  S3_pocket
39  -120.93  3  0.869363  11.898  9.255  -0.649312  1.004960  -0.003200  S3_pocket
