# GMM n=4 pocket classification, T=25C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
74  82.58  1  0.851489  6.062  11.514  0.330290  0.935631  -0.020046  surface
75  79.86  1  0.837735  6.397  11.916  0.431442  0.927282  -0.018583  surface
76  98.27  1  0.866522  6.540  11.363  0.484920  0.891162  -0.009964  surface
77  71.82  1  0.827382  6.170  11.263  0.262121  0.892312  -0.019966  surface
78  79.31  1  0.848179  6.135  10.749  0.095525  0.910382  -0.028972  surface
79  66.60  1  0.847138  5.869  11.706  0.222239  0.937064  -0.022423  surface
80  68.25  1  0.826236  5.881  12.392  0.421363  0.986402  -0.019406  surface
81  80.88  1  0.805538  6.580  11.598  0.252465  0.991898  -0.009221  surface
82  88.36  1  0.842105  6.202  11.215  0.190294  0.928508  -0.009186  surface
83  76.87  1  0.829107  7.154  10.772  0.211604  0.913489  -0.011265  surface
84  73.78  1  0.843816  6.338  10.857  0.435790  0.864036  -0.016359  surface
85  89.64  1  0.831453  6.070  10.617  0.381781  0.944590  -0.012885  surface
86  78.34  1  0.862325  6.252  11.876  0.408788  0.930157  -0.017311  surface
87  77.02  1  0.813896  5.695  12.338  0.372880  0.993600  -0.008107  surface
88  98.12  1  0.792287  6.168  12.453  0.300146  1.011163  -0.011703  surface
89  86.01  1  0.828796  6.622  11.555  0.243371  0.971118  -0.002626  surface
90  78.62  1  0.786148  6.196  12.684  0.433818  1.018818  -0.018890  surface
91  75.09  1  0.842804  6.133  10.875  0.106664  0.908585  -0.000683  surface
92  89.79  1  0.878038  6.706  11.608  0.401192  0.832352  -0.013287  surface
93  83.60  1  0.827207  6.739  12.232  0.344236  0.905651  -0.015910  surface
94  76.41  1  0.838799  6.627  10.938  0.338428  0.881692  -0.000412  surface
95  99.36  1  0.865863  6.546  9.948  0.022675  0.868350  -0.012279  surface
96  85.67  1  0.872388  6.970  10.922  0.205613  0.839016  -0.019928  surface
97  74.08  1  0.875247  6.376  9.962  0.044473  0.869307  -0.018822  surface
98  84.84  1  0.869613  6.447  10.836  0.041080  0.906269  -0.013935  surface
99  86.07  1  0.884762  6.728  11.812  0.363153  0.886584  -0.020016  surface
100  85.56  1  0.927774  6.567  10.441  0.082960  0.845459  -0.025657  surface
101  91.66  1  0.842462  6.389  11.367  0.087678  0.951644  -0.015497  surface
102  84.45  1  0.848608  6.364  11.173  0.140326  0.970280  -0.007100  surface
103  92.64  1  0.890720  6.360  10.092  0.131653  0.845463  -0.023602  surface
104  82.78  1  0.863623  6.820  11.417  0.243858  0.883076  -0.020816  surface
105  98.18  1  0.890322  6.233  11.100  0.350864  0.872388  -0.015111  surface
106  81.67  1  0.896510  6.518  11.512  0.160293  0.887466  -0.020711  surface
107  94.12  1  0.870196  6.452  10.856  0.289808  0.907848  -0.020959  surface
108  95.82  1  0.918931  6.352  9.590  -0.001731  0.809523  -0.010992  surface
109  71.69  1  0.897411  6.507  11.431  0.318350  0.861806  -0.028828  surface
110  79.39  1  0.891544  6.624  10.847  0.248777  0.859322  -0.030576  surface
111  96.30  1  0.870186  6.610  10.873  0.112965  0.882118  -0.008727  surface
