# GMM n=4 pocket classification, T=30C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
0  83.41  1  0.889543  11.455  7.937  -0.096846  0.583036  -0.015439  surface
1  81.23  1  0.846291  12.046  9.371  -0.382568  0.861442  0.001559  S3_pocket
2  67.10  1  0.833233  11.309  10.393  -0.547086  1.006454  0.000125  S3_pocket
3  78.17  1  0.850029  11.902  9.669  -0.571653  0.995898  0.000778  S3_pocket
4  76.86  1  0.849469  11.770  9.925  -0.860542  1.006815  0.006393  S3_pocket
5  95.62  1  0.830021  10.627  10.889  -0.506468  0.996021  0.008099  S3_pocket
6  63.42  1  0.874911  11.535  9.752  -0.626798  0.898098  0.005349  S3_pocket
7  84.86  1  0.869785  12.536  10.088  -0.743824  0.877111  0.005242  S3_pocket
8  71.36  1  0.852348  12.785  9.594  -0.667562  0.964028  0.004283  S3_pocket
9  70.44  1  0.924325  13.123  8.773  -0.797894  0.873669  0.009485  S3_pocket
10  85.02  1  0.909255  13.133  10.431  -0.772127  0.988852  -0.007704  extended
11  97.89  1  0.900943  12.436  9.211  -0.650196  0.922364  0.010468  S3_pocket
12  67.85  1  0.905084  13.406  10.313  -0.900743  1.021223  -0.007508  extended
13  76.75  1  0.899735  13.217  9.930  -0.848608  0.970958  -0.008019  extended
14  58.42  1  0.886527  13.019  9.242  -0.757876  0.893241  -0.010895  S3_pocket
15  63.03  1  0.907875  13.785  9.964  -0.870809  0.952765  -0.020226  extended
16  70.96  1  0.913274  13.675  10.013  -0.887423  0.960859  -0.024710  extended
17  80.40  1  0.896896  13.604  9.515  -0.609314  0.896574  -0.008257  S3_pocket
18  60.32  1  0.922701  13.669  9.114  -0.797031  0.935678  -0.003899  extended
19  57.28  1  0.920456  13.833  10.562  -0.899508  1.029512  -0.009183  extended
20  65.18  1  0.934910  13.726  9.408  -0.815031  0.944855  -0.014342  extended
21  78.04  1  0.906559  13.294  9.221  -0.783068  0.967019  0.002038  S3_pocket
22  79.16  1  0.911830  12.854  9.478  -0.635758  0.971314  0.004195  S3_pocket
23  70.54  1  0.906301  13.406  10.252  -0.771190  1.021446  0.009262  extended
24  77.79  1  0.888396  12.843  10.401  -0.495108  0.953599  -0.006392  S3_pocket
25  76.46  1  0.929959  12.736  8.478  -0.407417  0.877942  0.005586  S3_pocket
26  67.08  1  0.927226  13.490  9.897  -0.891594  1.028001  -0.007508  extended
27  56.22  1  0.908812  13.334  10.035  -0.829090  1.007093  -0.002573  extended
28  74.36  1  0.916142  13.183  10.078  -0.763293  0.973124  0.004533  extended
29  82.95  1  0.919451  12.452  11.628  -0.878588  1.095645  -0.020570  extended
30  82.85  1  0.886427  12.505  11.313  -0.860286  1.129346  -0.009893  extended
31  100.91  1  0.896054  12.917  12.024  -0.827577  1.122123  -0.008451  extended
32  77.68  1  0.918429  13.202  11.567  -0.888050  1.129996  -0.006805  extended
33  83.50  1  0.954842  13.189  10.610  -0.851460  1.101465  -0.003506  extended
34  88.34  1  0.916606  13.121  11.665  -0.882402  1.110335  -0.006543  extended
35  84.02  1  0.911756  12.381  10.787  -0.890315  1.101851  -0.009180  extended
36  77.76  1  0.886857  12.648  11.146  -0.880900  1.146227  -0.014181  extended
37  82.59  1  0.934366  12.851  11.067  -0.850133  1.119842  -0.012010  extended
38  89.17  1  0.901873  12.545  11.213  -0.844759  1.163221  -0.005599  extended
39  77.17  1  0.911390  12.715  11.383  -0.714438  1.075976  -0.004179  extended
40  82.70  1  0.890700  12.611  12.234  -0.806495  1.212860  -0.018392  extended
41  73.20  1  0.917961  12.568  11.625  -0.855946  1.190934  -0.015958  extended
42  98.05  1  0.903637  12.724  11.335  -0.796456  1.123448  -0.016143  extended
43  87.39  1  0.919730  12.674  11.040  -0.786330  1.105417  -0.005828  extended
44  75.49  1  0.935923  12.696  10.758  -0.812688  1.097148  -0.012794  extended
45  90.06  1  0.898603  12.576  11.512  -0.779085  1.167553  -0.014837  extended
46  71.49  1  0.896540  12.539  10.923  -0.782880  1.105942  -0.005269  extended
47  76.71  1  0.901121  12.734  10.941  -0.800500  1.116090  -0.010221  extended
48  78.53  1  0.909032  12.620  10.842  -0.738912  1.081709  -0.004111  extended
49  77.17  1  0.909879  12.900  10.841  -0.810384  1.092726  -0.002761  extended
50  93.36  1  0.905818  12.679  10.868  -0.843734  1.117362  0.001631  extended
51  100.34  1  0.913516  12.989  10.829  -0.741068  1.094666  -0.003573  extended
52  74.39  1  0.920475  12.719  10.873  -0.778954  1.044696  -0.005649  extended
53  82.48  1  0.894691  12.920  11.177  -0.858617  1.195126  -0.015081  extended
54  73.99  1  0.896134  12.431  10.410  -0.848398  1.136901  -0.009905  extended
55  86.28  1  0.924808  12.758  11.372  -0.865306  1.157661  -0.021200  extended
56  98.31  1  0.912616  13.084  11.909  -0.902757  1.198818  -0.004313  extended
57  95.10  1  0.891493  12.762  11.422  -0.856671  1.168552  -0.014674  extended
58  90.15  1  0.928020  12.791  11.796  -0.847020  1.179881  -0.012380  extended
59  96.08  1  0.901543  12.810  11.511  -0.780343  1.126076  -0.018905  extended
60  101.14  1  0.902836  12.846  12.455  -0.921809  1.209245  -0.023739  extended
61  96.40  1  0.883134  13.319  12.728  -0.759923  1.194695  -0.018278  extended
62  63.45  1  0.899226  12.797  11.975  -0.960719  1.175335  -0.014304  extended
63  101.80  1  0.871715  13.035  13.054  -0.910834  1.222578  -0.007111  extended
64  81.97  1  0.902843  13.011  11.912  -0.850846  1.124498  -0.003682  extended
65  103.51  1  0.853355  12.518  13.139  -0.870034  1.266143  -0.011178  extended
66  95.60  1  0.900687  13.121  12.850  -0.877665  1.179360  -0.005643  extended
67  92.24  1  0.894808  12.714  11.599  -0.870242  1.144738  -0.018004  extended
68  100.54  1  0.889151  13.189  12.501  -0.910127  1.195478  -0.019262  extended
69  84.02  1  0.885719  13.158  12.138  -0.917179  1.181477  -0.011964  extended
70  66.54  1  0.921889  13.239  11.751  -0.791922  1.094638  -0.024755  extended
71  98.68  1  0.890569  12.756  12.020  -0.896076  1.198028  -0.011451  extended
72  76.78  1  0.902052  13.049  12.103  -0.852969  1.157505  -0.016758  extended
73  87.29  1  0.905391  12.900  11.385  -0.902246  1.149110  -0.017097  extended
74  86.77  1  0.913585  12.976  11.379  -0.859528  1.110336  -0.010465  extended
75  102.70  1  0.887413  12.755  13.428  -0.909285  1.285400  -0.012582  extended
76  74.57  1  0.913467  12.912  12.048  -0.894491  1.210980  -0.026862  extended
77  93.29  1  0.904188  13.041  11.889  -0.839605  1.178280  -0.010054  extended
78  82.14  1  0.920642  12.609  11.298  -0.843741  1.113247  -0.017543  extended
79  81.57  1  0.910686  13.223  11.755  -0.893566  1.120248  -0.001978  extended
80  72.46  1  0.914172  12.600  11.818  -0.853486  1.159108  -0.008252  extended
81  72.32  1  0.922890  13.111  12.141  -0.875419  1.120214  -0.014137  extended
82  79.25  1  0.923699  12.963  10.648  -0.862056  1.049978  -0.019746  extended
83  88.23  1  0.922194  13.043  11.364  -0.785318  1.123049  -0.004196  extended
84  87.23  1  0.894243  12.711  11.748  -0.916903  1.155203  -0.012377  extended
85  69.51  1  0.897752  12.470  12.213  -0.927165  1.159034  0.000598  extended
86  70.35  1  0.911263  12.974  11.987  -0.899760  1.113195  -0.006358  extended
87  68.32  1  0.939167  13.145  11.003  -0.872070  1.068059  -0.003313  extended
88  94.18  1  0.929800  12.586  11.816  -0.816360  1.102213  -0.008282  extended
89  87.25  1  0.940837  12.877  11.142  -0.819310  1.093543  0.006002  extended
90  70.45  1  0.932184  12.737  11.392  -0.880923  1.104002  0.004193  extended
91  91.83  1  0.900031  13.354  11.539  -0.893848  1.142532  0.003281  extended
92  88.15  1  0.893793  13.239  12.284  -0.925949  1.156996  -0.002982  extended
93  94.69  1  0.922442  13.405  11.901  -0.853576  1.140607  -0.011752  extended
94  61.65  1  0.900884  13.140  11.565  -0.925872  1.133104  -0.008006  extended
95  86.73  1  0.913553  13.309  12.027  -0.738229  1.100965  -0.007450  extended
96  69.44  1  0.905166  12.300  11.592  -0.899497  1.085985  -0.016582  extended
97  79.50  1  0.922262  12.341  11.418  -0.677206  1.039205  -0.018845  extended
98  79.47  1  0.922089  12.798  10.919  -0.887615  1.072195  -0.002515  extended
99  85.40  1  0.931909  13.288  11.536  -0.891414  1.124105  -0.010819  extended
100  90.27  1  0.961689  13.291  11.226  -0.806500  1.085769  -0.013510  extended
101  87.00  1  0.928596  13.171  12.346  -0.898605  1.127938  -0.009359  extended
102  91.29  1  0.961765  13.059  10.596  -0.913238  1.048838  -0.006712  extended
103  64.74  1  0.914399  12.353  11.015  -0.882735  1.116671  -0.004327  extended
104  97.25  1  0.932453  12.811  12.115  -0.830288  1.130771  -0.021055  extended
105  86.30  1  0.929106  13.213  11.564  -0.849277  1.120337  -0.006178  extended
106  74.73  1  0.915145  12.451  11.706  -0.740312  1.068073  -0.020780  extended
107  86.62  1  0.915714  12.990  11.191  -0.762736  1.070861  -0.005431  extended
108  105.46  1  0.909699  12.456  12.483  -0.872029  1.189990  -0.016123  extended
109  97.99  1  0.928996  12.934  11.168  -0.879159  1.098709  -0.006344  extended
110  77.31  1  0.909448  12.836  10.718  -0.788365  1.105550  -0.010080  extended
111  75.77  1  0.889863  13.202  12.061  -0.872339  1.114591  0.000837  extended
112  75.87  1  0.928341  12.309  11.451  -0.886123  1.116989  -0.019783  extended
113  88.68  1  0.895947  12.619  12.738  -0.901044  1.185232  -0.002784  extended
114  104.10  1  0.897621  12.515  11.588  -0.845997  1.166469  -0.011626  extended
115  82.46  1  0.926216  13.284  12.144  -0.859955  1.113945  -0.010049  extended
